Status,Date,Description,Debit,Credit
Cleared,1/18/2025,SQ *BARONE COFFE Wichita KS,5.11,
Cleared,1/18/2025,MASTER WOK WICHITA KS,13.63,
Cleared,1/18/2025,GREAT AMERICAN COOKIES WICHITA KS,3.87,
Cleared,1/17/2025,TST*IL PRIMO ESPRESSO Wichita KS,6.06,
Cleared,1/17/2025,WM SUPERCENTER #1507 WICHITA KS,52.71,
Cleared,1/17/2025,"ONLINE PAYMENT, THANK YOU",,-302.6
Cleared,1/16/2025,TST*IL PRIMO ESPRESSO Wichita KS,5.61,
Cleared,1/15/2025,TST*IL PRIMO ESPRESSO Wichita KS,6.06,
Cleared,1/14/2025,TST*IL PRIMO ESPRESSO Wichita KS,14.21,
Cleared,1/14/2025,CRUNCHYROLL *MEMBERSHI 415-503-9235 CA,12.78,
Cleared,1/13/2025,TST*IL PRIMO ESPRESSO Wichita KS,6.06,
Cleared,1/13/2025,ALLIED BEHAVIORAL HEAL FAIRVIEW PARK OH,35,
Cleared,1/13/2025,Kindle Svcs*Z54N114T0 888-802-3080 WA null XXXXXXXXXXXX2026,12.77,
Cleared,1/13/2025,Kindle Svcs*ZD3FJ5XX1 888-802-3080 WA null XXXXXXXXXXXX2026,9.57,
Cleared,1/12/2025,KWIK SHOP 0758 WICHITA KS,20.61,
Cleared,1/12/2025,WAL-MART #1507 WICHITA KS,20.34,
Cleared,1/12/2025,TST*IL PRIMO ESPRESSO Wichita KS,12.94,
Cleared,1/11/2025,TRADER JOE S #729 WICHITA KS,79.29,
Cleared,1/11/2025,LAMARS DONUTS WICHITA KS,14.2,
Cleared,1/11/2025,BARNES & NOBLE WICHITA KS,4.41,
Cleared,1/10/2025,Kindle Svcs*Z51035VX2 888-802-3080 WA null XXXXXXXXXXXX2026,27.31,
Cleared,1/9/2025,TST*IL PRIMO ESPRESSO Wichita KS,13.39,
Cleared,1/9/2025,CITY BITES WICHITA KS,7.51,
Cleared,1/9/2025,"ONLINE PAYMENT, THANK YOU",,-522.9
Cleared,1/8/2025,TST*IL PRIMO ESPRESSO Wichita KS,6.15,
Cleared,1/8/2025,Kindle Svcs*Z51BP9ZY2 888-802-3080 WA null XXXXXXXXXXXX2026,10.64,
Cleared,1/8/2025,Kindle Svcs*ZD5625EO0 888-802-3080 WA null XXXXXXXXXXXX2026,10.64,
Cleared,1/5/2025,Kindle Svcs*ZP0PY4U00 888-802-3080 WA null XXXXXXXXXXXX2026,10.83,
Cleared,1/4/2025,STARBUCKS STORE 02857 WICHITA KS,7.07,
Cleared,1/4/2025,Kindle Svcs*ZD3BG35R2 888-802-3080 WA null XXXXXXXXXXXX2026,4.15,
Cleared,1/3/2025,TST*IL PRIMO ESPRESSO Wichita KS,14.21,
Cleared,1/3/2025,WM SUPERCENTER #1507 WICHITA KS,50.22,
Cleared,1/3/2025,Kindle Svcs*ZP3H15VC0 888-802-3080 WA null XXXXXXXXXXXX2026,14.9,
Cleared,1/2/2025,EPC*EPIC GAMES STORE 919-854-0070 NC,3.18,
Cleared,1/2/2025,Kindle Svcs*ZD0BN0NE2 888-802-3080 WA null XXXXXXXXXXXX2026,1.05,
Cleared,1/2/2025,TRADER JOE S #729 WICHITA KS,20.15,
Cleared,1/1/2025,AMC 0114 NORTHROCK 14 WICHITA KS,14.93,
Cleared,1/1/2025,AMC 0114 NORTHROCK 14 WICHITA KS,9.66,
Cleared,1/1/2025,STARBUCKS STORE 02898 WICHITA KS,9.01,
Cleared,1/1/2025,STARBUCKS STORE 02898 WICHITA KS,7.72,
Cleared,1/1/2025,WAL-MART #1507 WICHITA KS,136.28,
Cleared,12/31/2024,BP#2520900OTTAWA BPQPS OTTAWA KS,15.24,
Cleared,12/31/2024,CENEX- KLEIN OIL COMPA BOONVILLE MO,3.8,
Cleared,12/31/2024,CASEY S #4399 NEW FLORENCE MO,8.41,
Cleared,12/31/2024,WENDYS 130 OTTAWA KS,2.62,
